RepRapFirmware height map file v2 generated at 2022-03-16 18:39, min error -0.280, max error 0.140, mean -0.053, deviation 0.130
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-100.00,100.00,-60.00,60.00,-1.00,49.99,30.00,5,5
  0.100,  0.040, -0.020, -0.120, -0.230
  0.130,  0.060, -0.020, -0.130, -0.250
  0.140,  0.070,  0.000, -0.130, -0.270
  0.100,  0.070, -0.010, -0.140, -0.280
 -0.030,  0.030, -0.040, -0.140, -0.260
